date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:32	1299/1299	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2006:43:49%20GMT	http://shtheme.net/robots.txt		(from )
21:40:35	164983/164983	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202019%2014:40:33%20GMT	http://shtheme.net/demosd/cruise/	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/index.html	(from )
21:40:36	2091/2091	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2006:43:49%20GMT	http://shtheme.net/demosd/cruise/wp-content/themes/cruise/img/my-portfolio.ico	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/themes/cruise/img/my-portfolio.ico	(from http://shtheme.net/demosd/cruise/)
21:40:36	83/83	---M--	409	error ('Conflict')	text/html	date:Fri,%2012%20Jul%202019%2014:40:36%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.5	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/contact-form-7/includes/css/styles1748.css	(from http://shtheme.net/demosd/cruise/)
21:40:38	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jul%202019%2014:40:38%20GMT	http://fonts.googleapis.com/	/home/audy/websites/cms_Travel/fonts.googleapis.com/index.html	(from http://shtheme.net/demosd/cruise/)
21:40:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jul%202019%2014:40:38%20GMT	http://s.w.org/	/home/audy/websites/cms_Travel/s.w.org/index.html	(from http://shtheme.net/demosd/cruise/)
21:40:39	6881/6881	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=2.6.6	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreend7ad.css	(from http://shtheme.net/demosd/cruise/)
21:40:42	53873/53873	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=2.6.6	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/woocommerce/assets/css/woocommerced7ad.css	(from http://shtheme.net/demosd/cruise/)
21:40:42	3871/3871	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/wp-hotel-booking/includes/plugins/wp-hotel-booking-extra/assets/css/site.css?ver=1.9.7.5	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/wp-hotel-booking/includes/plugins/wp-hotel-booking-extra/assets/css/siteb427.css	(from http://shtheme.net/demosd/cruise/)
21:40:44	66279/66279	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/wp-hotel-booking/assets/css/hotel-booking.css?ver=4.9.8	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/wp-hotel-booking/assets/css/hotel-booking5010.css	(from http://shtheme.net/demosd/cruise/)
21:40:46	98583/98583	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/wp-hotel-booking/assets/css/libraries.css?ver=4.9.8	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/wp-hotel-booking/assets/css/libraries5010.css	(from http://shtheme.net/demosd/cruise/)
